               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11406,             0.09905,            0.016402,             0.32077,              0.4124,             0.29556,             0.10141,            0.085294,             0.10901,            0.010697,            0.070062,           0.0033265,           0.0033265
                   1,            0.083901,             0.12195,            0.009393,             0.47663,             0.47909,             0.44159,             0.19392,            0.075425,             0.11501,           0.0080669,            0.039403,           0.0060005,           0.0060005
                   2,            0.078975,              0.1205,           0.0077583,             0.61887,             0.53576,             0.56028,             0.26642,             0.06783,             0.11628,           0.0068163,           0.0080832,           0.0080145,           0.0080145
                   3,            0.074209,             0.11788,           0.0067482,             0.71404,             0.55082,             0.60412,             0.29161,             0.06601,             0.11331,           0.0062781,             0.00703,             0.00703,             0.00703
                   4,            0.072123,             0.11782,           0.0065001,             0.72961,             0.56616,             0.62711,             0.33384,             0.06298,             0.11156,           0.0060713,             0.00703,             0.00703,             0.00703
                   5,             0.06888,             0.11387,           0.0060208,             0.74613,             0.59019,             0.64319,              0.3594,            0.059744,             0.11111,           0.0057756,             0.00604,             0.00604,             0.00604
                   6,            0.067054,             0.11392,           0.0058778,             0.75862,             0.60301,             0.66243,             0.38199,            0.058548,             0.11039,           0.0056107,             0.00505,             0.00505,             0.00505
                   7,            0.065893,             0.11357,           0.0056548,             0.77533,             0.60679,             0.67525,             0.39215,            0.057663,              0.1098,           0.0053647,             0.00406,             0.00406,             0.00406
                   8,            0.064685,             0.11313,           0.0055191,             0.79247,             0.61748,             0.68259,             0.40686,            0.056457,             0.10855,            0.005236,             0.00307,             0.00307,             0.00307
                   9,            0.064268,             0.11226,            0.005484,              0.7811,             0.61673,             0.68255,             0.40924,            0.056225,             0.10841,           0.0051374,             0.00208,             0.00208,             0.00208
